Project Title,Application ID,Project Start Date,Project End Date,Funding Mechanism,Fiscal Year,Total Cost,Total Cost (Sub Projects),Funding IC(s),Direct Cost IC,InDirect Cost IC,Total Cost IC
PREDICTORS OF PROGRESSION IN BARRETTS ESOPHAGUS,2008326,2/7/1995 0:00,11/30/1999 0:00,Non-SBIR/STTR,1997,878028, ,NCI, , ,878028
ONCOGENE-SPECIFIC IMMUNE RESPONSES IN BREAST CANCER,2008328,6/1/1994 0:00,5/31/2000 0:00,Non-SBIR/STTR,1997,227360, ,NCI, , ,227360
SIGNIFICANCE OF MICROMETASTASES IN PROSTATE CANCER,2008398,12/22/1995 0:00,11/30/1999 0:00,Non-SBIR/STTR,1997,105242, ,NCI, , ,105242
MOLECULAR EPIDEMIOLOGY OF BREAST CANCER,2008565,5/1/1997 0:00,4/30/2000 0:00,Non-SBIR/STTR,1997,645716, ,NCI, , ,645716
CONTROL OF P53 DEPENDENT APOPTOSIS,2008590,1/1/1995 0:00,12/31/1999 0:00,Non-SBIR/STTR,1997,140565, ,NCI, , ,140565
CELLULAR TARGETS OF EARLY BREAST TUMORIGENESIS,2008592,1/28/1995 0:00,12/31/1999 0:00,Non-SBIR/STTR,1997,187925, ,NCI, , ,187925
MECHANISM OF HPV E6 MEDIATED UBIQUITINATION OF P53,2008594,12/29/1994 0:00,11/30/1999 0:00,Non-SBIR/STTR,1997,266842, ,NCI, , ,266842
MAMMALIAN CELL CYCLE CONTROL AND TUMORIGENESIS,2008661,3/1/1995 0:00,12/31/1999 0:00,Non-SBIR/STTR,1997,168266, ,NCI, , ,168266
STRUCTURAL STUDIES OF THE P53 TUMOR SUPPRESSOR,2008674,1/15/1995 0:00,12/31/1999 0:00,Non-SBIR/STTR,1997,194050, ,NCI, , ,194050
NEW METHODS FOR CANCER DETECTION,2008700,3/1/1997 0:00,1/31/2001 0:00,Non-SBIR/STTR,1997,944370, ,NCI, , ,944370
TARGETED GENE DELIVERY FOR LUNG CANCER GENE THERAPY,2008711,1/3/1995 0:00,12/31/1999 0:00,Non-SBIR/STTR,1997,102304, ,NCI, , ,102304
FUNCTION OF THE HOMOLOGY REGION BETWEEN PRB AND LARGE T,2008734,1/1/1995 0:00,12/31/1998 0:00,Non-SBIR/STTR,1997,183456, ,NCI, , ,183456
HUMAN ABERRANT CRYPT FOCI--BIOMARKERS FOR COLON CANCER,2008784,2/9/1996 0:00,11/30/2000 0:00,Non-SBIR/STTR,1997,188533, ,NCI, , ,188533
GENETIC ALTERATIONS IN PUVA INDUCED SKIN CANCERS,2008832,3/1/1996 0:00,12/31/1999 0:00,Non-SBIR/STTR,1997,159421, ,NCI, , ,159421
SV40 T ANTIGEN TRANSACTIVATION AND TRANSFORMATION,2008845,9/20/1996 0:00,9/16/1999 0:00,Non-SBIR/STTR,1996,90545, ,OD, , ,90545
ADJUVANT BIOLOGIC THERAPY FOR STAGE III/IV HEAD CANCER,2009066,5/1/1997 0:00,4/30/1999 0:00,Non-SBIR/STTR,1997,127700, ,NCI, , ,127700
MECHANISMS OF P53 DEPENDENT APOPTOSIS,2009112,3/1/1996 0:00,12/31/2000 0:00,Non-SBIR/STTR,1997,267070, ,NCI, , ,267070
CHEMOPREVENTION OF HEAD AND NECK CANCERS,2009223,9/16/1996 0:00,2/28/1998 0:00,Non-SBIR/STTR,1996,80476, ,NCI, , ,80476
MARKERS FOR LUNG CARCINOGENESIS IN BRONCHIAL EPITHELIUM,2009525,3/1/1997 0:00,2/28/2002 0:00,Non-SBIR/STTR,1997,462106, ,NCI, , ,462106
SYSTEMIC DELIVERY OF P53 INHIBITS BREAST CANCER,2009610,7/15/1997 0:00,6/30/2002 0:00,Non-SBIR/STTR,1997,96178, ,NCI, , ,96178
EXPRESSION AND FUNCTIONS OF MDM2 PROTEINS,2009762,2/1/1997 0:00,1/31/2002 0:00,Non-SBIR/STTR,1997,63619, ,NCI, , ,63619
MVAC IN BLADDER CANCER BASED ON P53 STATUS,2010238,5/1/1997 0:00,2/28/1998 0:00,Non-SBIR/STTR,1997,467999, ,NCI, , ,467999
EPISOMAL VECTORS FOR COLON CANCER GENE THERAPY,2010801,1/20/1997 0:00,12/31/1999 0:00,Non-SBIR/STTR,1997,156203, ,NCI, , ,156203
REGULATION OF BCL2 BY RAS AND TUMOR SUPPRESSORS,2010835,1/1/1997 0:00,12/31/2001 0:00,Non-SBIR/STTR,1997,192286, ,NCI, , ,192286
EVALUATION OF PREDICTORS FOR RECURRENT ADENOMAS,2010848,2/14/1997 0:00,12/31/1997 0:00,Non-SBIR/STTR,1997,255672, ,NCI, , ,255672
P53 WILD TYPE PEPTIDE BASED IMMUNOTHERAPY,2010970,2/12/1997 0:00,1/31/2000 0:00,Non-SBIR/STTR,1997,159139, ,NCI, , ,159139
H PYLORI PHENOTYPE AND STOMACH CANCER,2011056,1/25/1997 0:00,12/31/2000 0:00,Non-SBIR/STTR,1997,182303, ,NCI, , ,182303
CHEMOSENSITIZATION OF NSCLC THROUGH SIGNAL TRANSDUCTION,2011062,2/1/1997 0:00,1/31/2000 0:00,Non-SBIR/STTR,1997,174593, ,NCI, , ,174593
EXCISION REPAIR OF UV RADIATION-INDUCED DNA DAMAGE,2011078,2/1/1997 0:00,11/30/2000 0:00,Non-SBIR/STTR,1997,292017, ,NCI, , ,292017
ACTIVITY OF PACLITAXEL AGAINST CARCINOMA OF ESOPHAGUS,2011081,12/26/1996 0:00,11/30/1998 0:00,Non-SBIR/STTR,1997,154500, ,NCI, , ,154500
PREDICTING CHEMOTHERAPY RESPONSE IN HEAD AND NECK CANCER,2011869,5/1/1997 0:00,4/30/1999 0:00,Non-SBIR/STTR,1997,160907, ,NCI, , ,160907
PATHOGENESIS OF HEPATOCELLULAR CARCINOMA,2012123,5/1/1997 0:00,2/28/2002 0:00,Non-SBIR/STTR,1997,238061, ,NCI, , ,238061
PROGNOSTIC INDICATORS IN LOCALIZED COLON CANCER,2012158,9/17/1997 0:00,8/31/2000 0:00,Non-SBIR/STTR,1997,177731, ,NCI, , ,177731
INHIBITION OF PAPILLOMAVIRUSES IN ORAL EPITHELIUM,2015134,2/1/1994 0:00,1/31/2001 0:00,Non-SBIR/STTR,1997,208949, ,NIDCR, , ,208949
MOLECULAR MARKERS OF ORAL CANCER RISK,2015482,4/1/1997 0:00,1/31/2001 0:00,Non-SBIR/STTR,1997,343026, ,NIDCR, , ,343026
RADIATION TOXICITY IN HUMAN BRONCHIAL EPITHELIAL CELLS,2018382,1/1/1995 0:00,12/31/1998 0:00,Non-SBIR/STTR,1997,164006, ,NIEHS, , ,164006
P53 AND THE CELLULAR RESPONSE TO DNA DAMAGE,2018412,1/1/1992 0:00,12/31/2001 0:00,Non-SBIR/STTR,1997,313083, ,NIEHS, , ,313083
LOH AT 3P AND P53 AND K-RAS MUTATION IN LUNG CANCER,2018793,1/1/1997 0:00,12/31/2000 0:00,Non-SBIR/STTR,1997,287205, ,NIEHS, , ,287205
EMF EFFECTS ON CELL REGULATION IN A-T CELLS,2019341,1/10/1997 0:00,12/31/1998 0:00,Non-SBIR/STTR,1997,106400, ,NIEHS, , ,106400
RB-DEPENDENT PATHWAYS AND MURINE LENS DEV,2019569,12/1/1996 0:00, ,"Training, Individual",1997,24677, ,NEI, , ,24677
ROLE AND REGULATION OF CDK4 IN THE NORMAL LENS,2020017,1/26/1996 0:00,12/31/2000 0:00,Non-SBIR/STTR,1997,298919, ,NEI, , ,298919
G2/M DNA DAMAGE CHECKPOINT IN BUDDING YEAST,2022428,1/1/1991 0:00,11/30/2000 0:00,Non-SBIR/STTR,1997,198748, ,NIGMS, , ,198748
EXTRAGENIC SUPPRESSORS OF THE TATA-BINDING PROTEIN,2022491,7/1/1991 0:00,12/31/1998 0:00,Non-SBIR/STTR,1997,217367, ,NIGMS, , ,217367
GENETIC APPROACH TO UNDERSTANDING NITRIC OXIDE,2022809,1/1/1994 0:00,12/31/1998 0:00,Non-SBIR/STTR,1997,235800, ,NIGMS, , ,235800
TUMOR SUPPRESSOR P53 AND THE CNS,2037860,5/1/1997 0:00,2/29/2000 0:00,Non-SBIR/STTR,1997,169156, ,NINDS, , ,169156
MECHANISMS OF NEURONAL APOPTOSIS,2039154,4/20/1997 0:00,3/31/2001 0:00,Non-SBIR/STTR,1997,202573, ,NINDS, , ,202573
AGE ASSOCIATED CHANGES IN B LYMPHOCYTE FUNCTION,2049335,8/1/1986 0:00,7/31/1996 0:00,Non-SBIR/STTR,1993,166905, ,NIA, , ,166905
MECHANISMS OF CELLULAR IMMORTALIZATION,2049974,4/1/1989 0:00,12/31/1999 0:00,Non-SBIR/STTR,1995,286288, ,NIA, , ,286288
"CALORIES, FAT, AND SPONTANEOUS PROSTATE CANCER",2051768,5/1/1992 0:00,4/30/1997 0:00, ,1994,168689, ,NIA, , ,168689
"CALORIES, FAT, AND SPONTANEOUS PROSTATE CANCER",2051769,5/1/1992 0:00,4/30/1997 0:00,Non-SBIR/STTR,1995,149752, ,NIA, , ,149752
MOLECULAR BASIS OF SENESCENCE IN BREAST EPITHELIAL CELLS,2052027,8/1/1992 0:00,5/31/1996 0:00,Non-SBIR/STTR,1994,246488, ,NIA, , ,246488
TRANSCRIPTION REGULATOR MUTATIONS IN PROSTATE CANCER,2052512,7/20/1992 0:00,6/30/1996 0:00, ,1994,254846, ,NIA, , ,254846
TRANSCRIPTION REGULATOR MUTATIONS IN PROSTATE CANCER,2052513,7/20/1992 0:00,6/30/1997 0:00,Non-SBIR/STTR,1995,264947, ,NIA, , ,264947
APOPTOSIS AND CERVICAL CANCER,2055774,9/1/1995 0:00,7/31/1999 0:00,Non-SBIR/STTR,1995,184399, ,NIA, , ,184399
CYTOKINE FUSION PROTEINS WITH ENHANCED IMMUNOGENICITY,2073877,9/30/1994 0:00,6/30/1999 0:00, ,1994,157921, ,NIAID, , ,157921
APOPTOSIS--THE ROLES OF P35 AND IAP,2075247,8/1/1995 0:00,7/31/1998 0:00,Non-SBIR/STTR,1995,234444, ,NIAID, , ,234444
PAPILLOMAVIRUS E6 ONCOGENE INTERACTION WITH P53,2077546,2/1/1995 0:00,1/31/2000 0:00,Other Research-Related,1995,75600, ,NIAMS, , ,75600
P53 IN CHRONIC MYELOGENOUS LEUKEMIA,2084077,7/16/1990 0:00,6/30/1995 0:00, ,1994,85590, ,NCI, , ,85590
PREVENTIVE ONCOLOGY,2084214,2/1/1993 0:00,1/31/1998 0:00, ,1994,88236, ,NCI, , ,88236
PREVENTIVE ONCOLOGY,2084215,2/1/1993 0:00,1/31/1998 0:00,Other Research-Related,1995,88236, ,NCI, , ,88236
"RELATIONSHIP BETWEEN DNA DAMAGE, MUTATIONS, AND CANCER",2084394,8/1/1993 0:00,7/31/1997 0:00, ,1994,70640, ,NCI, , ,70640
"RELATIONSHIP BETWEEN DNA DAMAGE, MUTATIONS, AND CANCER",2084395,8/1/1993 0:00,7/31/1997 0:00,Other Research-Related,1995,84394, ,NCI, , ,84394
MOLECULAR PATHOGENESIS OF PARATHYROID NEOPLASIA,2084408,8/1/1993 0:00,7/31/1998 0:00, ,1994,67287, ,NCI, , ,67287
MOLECULAR PATHOGENESIS OF PARATHYROID NEOPLASIA,2084409,8/1/1993 0:00,7/31/1996 0:00,Other Research-Related,1995,80819, ,NCI, , ,80819
ONCOGENES IN HEMATOPOIETIC DIFFERENTIATION AND NEOPLASIA,2086049,9/1/1978 0:00,3/31/1997 0:00, ,1994,94313, ,NCI, , ,94313
ONCOGENES IN HEMATOPOIETIC DIFFERENTIATION AND NEOPLASIA,2086050,9/1/1978 0:00,3/31/1997 0:00,Non-SBIR/STTR,1995,99610, ,NCI, , ,99610
VIRAL GENE FUNCTIONS INVOLVED IN TRANSFORMATION,2086157,5/1/1978 0:00,4/30/1996 0:00, ,1994,255269, ,NCI, , ,255269
VIRAL GENE FUNCTIONS AND REGULATION OF CELL GROWTH,2086184,9/1/1975 0:00,2/28/1998 0:00, ,1994,448078, ,NCI, , ,448078
VIRAL GENE FUNCTIONS AND REGULATION OF CELL GROWTH,2086185,9/1/1975 0:00,2/28/1998 0:00,Non-SBIR/STTR,1995,482714, ,NCI, , ,482714
GENETIC ANALYSIS OF MALIGNANCY,2086771,6/30/1976 0:00,3/31/2000 0:00,Non-SBIR/STTR,1995,441014, ,NCI, , ,441014
DNA DAMAGE /MUTATION IN P53--ROLE IN CELL TRANSFORMATION,2086938,7/1/1988 0:00,6/30/1997 0:00, ,1994,168557, ,NCI, , ,168557
DNA DAMAGE /MUTATION IN P53--ROLE IN CELL TRANSFORMATION,2086939,7/1/1988 0:00,6/30/1997 0:00,Non-SBIR/STTR,1995,186702, ,NCI, , ,186702
CHOLINE DEFICIENCY AND HEPATOCARCINOGENESIS,2087175,4/1/1978 0:00,11/30/1995 0:00, ,1994,244693, ,NCI, , ,244693
SUPPRESSOR GENES AND BREAST CANCER,2087328,5/1/1979 0:00,11/30/1997 0:00, ,1994,203955, ,NCI, , ,203955
SUPPRESSOR GENES AND BREAST CANCER,2087329,5/1/1979 0:00,11/30/1997 0:00,Non-SBIR/STTR,1995,214155, ,NCI, , ,214155
BIOSYNTHESIS OF ADENOVIRUS EARLY RNAS,2087343,4/1/1979 0:00,3/31/2000 0:00,Non-SBIR/STTR,1995,424763, ,NCI, , ,424763
GROWTH FACTORS AND LIVER TUMOR PROMOTION,2087431,7/1/1979 0:00,7/31/1995 0:00, ,1994,212961, ,NCI, , ,212961
CHEMOPREVENTION OF SKIN CANCER PROGRAM PROJECT,2087595,7/22/1980 0:00,11/30/1997 0:00, ,1994,1984166, ,NCI, , ,1984166
CHEMOPREVENTION OF SKIN CANCER PROGRAM PROJECT,2087596,7/22/1980 0:00,11/30/1997 0:00,Non-SBIR/STTR,1995,2100130, ,NCI, , ,2100130
TRANSFORMATION IN VITRO OF UROEPITHELIAL CELLS,2087941,2/1/1984 0:00,1/31/1997 0:00, ,1994,247400, ,NCI, , ,247400
TRANSFORMATION IN VITRO OF UROEPITHELIAL CELLS,2087942,2/1/1984 0:00,1/31/1997 0:00,Non-SBIR/STTR,1995,265278, ,NCI, , ,265278
QUANTITATIVE CARCINOGENESIS IN CULTURED EPITHELIAL CELLS,2088111,7/15/1981 0:00,1/31/1997 0:00, ,1994,218002, ,NCI, , ,218002
QUANTITATIVE CARCINOGENESIS IN CULTURED EPITHELIAL CELLS,2088112,7/15/1981 0:00,1/31/1997 0:00,Non-SBIR/STTR,1995,228972, ,NCI, , ,228972
EXPERIMENTAL BLADDER TUMORS,2088345,9/19/1981 0:00,4/30/1997 0:00, ,1994,234054, ,NCI, , ,234054
EXPERIMENTAL BLADDER TUMORS,2088346,9/19/1981 0:00,4/30/1997 0:00,Non-SBIR/STTR,1995,248669, ,NCI, , ,248669
EXPERIMENTAL BLADDER TUMORS,2088347,9/19/1981 0:00,4/30/1999 0:00,Non-SBIR/STTR,1996,260852, ,NCI, , ,260852
SELECTIVE THERAPY FOR COLON CARCINOMA,2088359,7/1/1983 0:00,2/28/1999 0:00, ,1994,217528, ,NCI, , ,217528
SELECTIVE THERAPY FOR COLON CARCINOMA,2088360,7/1/1983 0:00,2/28/1999 0:00,Non-SBIR/STTR,1995,223151, ,NCI, , ,223151
EBV EXPRESSION IN NASOPHARYNGEAL CARCINOMA,2088450,6/1/1983 0:00,5/31/2000 0:00,Non-SBIR/STTR,1995,186437, ,NCI, , ,186437
RNA TUMOR VIRUS-HEMATOPOIETIC CELL INTERACTION,2088598,6/1/1983 0:00,3/31/1998 0:00, ,1994,255110, ,NCI, , ,255110
RNA TUMOR VIRUS-HEMATOPOIETIC CELL INTERACTION,2088599,6/1/1983 0:00,3/31/1998 0:00,Non-SBIR/STTR,1995,270965, ,NCI, , ,270965
PANCREATIC DUCT CARCINOGENESIS--SPECIES DIFFERENCES,2088625,2/1/1983 0:00,5/31/1999 0:00,Non-SBIR/STTR,1995,197054, ,NCI, , ,197054
CYTOSKELETAL HYBRIDOMA ANTIBODIES AS DIAGNOSTIC REAGENTS,2089077,3/1/1984 0:00,9/29/1996 0:00, ,1994,192250, ,NCI, , ,192250
CANCER AND LEUKEMIA GROUP B--CORRELATIVE SCIENCES,2089210,4/1/1984 0:00,3/31/1998 0:00, ,1994,829072, ,NCI, , ,829072
CANCER AND LEUKEMIA GROUP B--CORRELATIVE SCIENCES,2089212,4/1/1984 0:00,3/31/1998 0:00,Other Research-Related,1995,733105, ,NCI, , ,733105
SOMATIC GENETIC ALTERATIONS IN GASTROINTESTINAL CANCER,2089589,9/30/1988 0:00,12/31/1997 0:00, ,1994,196144, ,NCI, , ,196144
SOMATIC GENETIC ALTERATIONS IN GASTROINTESTINAL CANCER,2089591,9/30/1988 0:00,12/31/1997 0:00,Non-SBIR/STTR,1995,98702, ,NCI, , ,98702
VIRAL TRANSGENE/ONCOGENE-INDUCED TUMORIGENESIS,2089633,12/1/1984 0:00,11/30/1994 0:00, ,1994,191883, ,NCI, , ,191883
VIRAL TRANSGENE-ONCOGENE INDUCED TUMORIGENESIS,2089634,12/20/1994 0:00,11/30/1997 0:00,Non-SBIR/STTR,1995,232068, ,NCI, , ,232068
GENETIC EPIDEMIOLOGY OF CHILDHOOD SARCOMA,2089673,12/1/1984 0:00,7/31/1996 0:00, ,1994,443942, ,NCI, , ,443942
GENETIC EPIDEMIOLOGY OF CHILDHOOD SARCOMA,2089674,12/1/1984 0:00,7/31/1998 0:00,Non-SBIR/STTR,1995,445015, ,NCI, , ,445015
FUNCTIONAL ANALYSIS OF THE P53 CELLULAR TUMOR ANTIGEN,2090113,8/15/1985 0:00,7/31/1997 0:00, ,1994,154760, ,NCI, , ,154760
FUNCTIONAL ANALYSIS OF THE P53 CELLULAR TUMOR ANTIGEN,2090114,8/15/1985 0:00,7/31/1997 0:00,Non-SBIR/STTR,1995,143815, ,NCI, , ,143815
 EPIDERMAL GROWTH FACTOR AND PANCREATIC CANCER,2090132,4/1/1989 0:00,5/31/1999 0:00,Non-SBIR/STTR,1995,248570, ,NCI, , ,248570
DNA PHOTOLESION STRUCTURE-ACTIVITY RELATIONSHIPS,2090224,7/1/1985 0:00,4/30/1998 0:00, ,1994,243158, ,NCI, , ,243158
DNA PHOTOLESION STRUCTURE-ACTIVITY RELATIONSHIPS,2090225,7/1/1985 0:00,4/30/1998 0:00,Non-SBIR/STTR,1995,257096, ,NCI, , ,257096
COLON CANCER PREVENTION,2090375,9/30/1986 0:00,2/29/2000 0:00,Non-SBIR/STTR,1995,2376469, ,NCI, , ,2376469
TRANSFORMING GROWTH FACTORS IN NEOPLASTIC TRANSFORMATION,2090828,7/1/1986 0:00,4/30/2000 0:00, ,1994,708611, ,NCI, , ,708611
TRANSFORMING GROWTH FACTORS IN NEOPLASTIC TRANSFORMATION,2090829,7/1/1986 0:00,4/30/2000 0:00,Non-SBIR/STTR,1995,744460, ,NCI, , ,744460
METHYLATION OF THE CALCITONIN GENE IN HUMAN TUMORS,2091165,9/30/1986 0:00,7/31/1999 0:00, ,1994,340599, ,NCI, , ,340599
METHYLATION OF THE CALCITONIN GENE IN HUMAN TUMORS,2091167,9/30/1986 0:00,7/31/1999 0:00,Non-SBIR/STTR,1995,355698, ,NCI, , ,355698
P53 GENE IN HUMAN NEOPLASIA,2091181,8/1/1983 0:00,5/31/1996 0:00, ,1994,362266, ,NCI, , ,362266
ONCOGENE-INDUCED LEUKEMOGENESIS IN TRANSGENIC MICE,2091195,4/1/1987 0:00,11/30/1996 0:00, ,1994,129529, ,NCI, , ,129529
ONCOGENE-INDUCED LEUKEMOGENESIS IN TRANSGENIC MICE,2091196,4/1/1987 0:00,11/30/1996 0:00,Non-SBIR/STTR,1995,115282, ,NCI, , ,115282
GROWTH CONTROL AND CYTOGENETICS OF MALIGNANT GLIOMAS,2091246,1/1/1987 0:00,12/31/1995 0:00, ,1994,252557, ,NCI, , ,252557
GROWTH CONTROL AND CYTOGENETICS OF MALIGNANT GLIOMAS,2091247,1/1/1987 0:00,12/31/1995 0:00,Non-SBIR/STTR,1995,271929, ,NCI, , ,271929
RETROVIRUSES AND CANCER GENES,2091417,7/1/1987 0:00,4/30/2001 0:00, ,1994,1394578, ,NCI, , ,1394578
RETROVIRUSES AND CANCER GENES,2091418,7/1/1987 0:00,4/30/2001 0:00,Non-SBIR/STTR,1995,1434183, ,NCI, , ,1434183
CCHARACTERIZATION OF THE RETINOBLASTOMA GENE,2091593,6/1/1987 0:00,3/31/1997 0:00, ,1994,269643, ,NCI, , ,269643
CCHARACTERIZATION OF THE RETINOBLASTOMA GENE,2091594,6/1/1987 0:00,3/31/1997 0:00,Non-SBIR/STTR,1995,278603, ,NCI, , ,278603
STATUS OF P53 IN A LFS CANCER PRONE FAMILY,2091766,9/1/1986 0:00,11/30/1998 0:00,Non-SBIR/STTR,1995,291493, ,NCI, , ,291493
STATUS OF P53 IN A LFS CANCER PRONE FAMILY,2091767,9/1/1986 0:00,11/30/1998 0:00,Non-SBIR/STTR,1995,65766, ,NCI, , ,65766
STATUS OF P53 IN A LFS CANCER PRONE FAMILY,2091768,9/1/1986 0:00,9/30/1996 0:00,Non-SBIR/STTR,1996,300870, ,NCI, , ,300870
STATUS OF P53 IN A LFS CANCER PRONE FAMILY,2091769,9/1/1986 0:00,9/30/1996 0:00,Non-SBIR/STTR,1996,69133, ,NCI, , ,69133
INSTABILITY OF TUMOR PROMOTION IN HEPATOCARCINOGENESIS,2091973,9/1/1987 0:00,3/31/1997 0:00, ,1994,211805, ,NCI, , ,211805
INSTABILITY OF TUMOR PROMOTION IN HEPATOCARCINOGENESIS,2091974,9/1/1987 0:00,3/31/1997 0:00,Non-SBIR/STTR,1995,224643, ,NCI, , ,224643
MOLECULAR CYTOGENETICS--PEDIATRIC CNS TUMORS,2092097,1/13/1989 0:00,12/31/1996 0:00, ,1994,192997, ,NCI, , ,192997
MOLECULAR CYTOGENETICS--PEDIATRIC CNS TUMORS,2092098,1/13/1989 0:00,12/31/1996 0:00,Non-SBIR/STTR,1995,221588, ,NCI, , ,221588
MECHANISMS OF INDUCTION OF SKIN CANCERS BY UV LIGHT,2092189,7/1/1988 0:00,11/30/1995 0:00, ,1994,117256, ,NCI, , ,117256
PATHWAY OF TUMOR SUPPRESSION,2092484,7/1/1988 0:00,4/30/1997 0:00, ,1994,189409, ,NCI, , ,189409
PATHWAY OF TUMOR SUPPRESSION,2092485,7/1/1988 0:00,4/30/1997 0:00,Non-SBIR/STTR,1995,201006, ,NCI, , ,201006
MARKERS FOR DIAGNOSIS AND PROGNOSIS OF BLADDER CANCER,2092596,5/15/1988 0:00,3/31/1996 0:00, ,1994,149637, ,NCI, , ,149637
